Unique Order Identifier,Order Complexity,Supplier,Unique Product Identifier,Planned Year,Planned Month,Planned Quarter,Planned Day,Planned Weekday,Delivery Delay,Delivery Status,Ordered Quantity,Arrival Year,Arrival Month,Arrival Quarter,Arrival Day,Arrival Weekday,Delivered Quantity,Delivery_Delay_Days,Status,Quantity Difference,Quantity Status
6260783-1,1,93118673,23101030601,2023,5,2,1,0,22,too late,14.0,2023,5,2,23,1,14.0,22,late,0.0,exact
6260784-1,1,41446825,23100770000,2023,9,3,4,0,0,on time,50.0,2023,9,3,4,0,50.0,0,on_time,0.0,exact
6260785-1,1,22740983,23101070000,2023,8,3,21,0,3,too late,30.0,2023,8,3,24,3,30.0,3,late,0.0,exact
6260786-1,4,22740983,23101081101,2023,11,4,6,0,-3,too early,100.0,2023,11,4,3,4,100.0,-3,early,0.0,exact
6260786-2,4,22740983,23101080001,2023,11,4,6,0,-3,too early,100.0,2023,11,4,3,4,100.0,-3,early,0.0,exact
6260786-3,4,22740983,23101081101,2023,5,2,22,0,0,on time,40.0,2023,5,2,22,0,40.0,0,on_time,0.0,exact
6260786-4,4,22740983,23101080001,2023,4,2,24,0,15,too late,40.0,2023,5,2,9,1,40.0,15,late,0.0,exact
6260787-1,1,23635582,29000190000,2023,1,1,9,0,3,too late,10000.0,2023,1,1,12,3,20000.0,3,late,10000.0,over delivered
6260788-1,2,10488377,22900710605,2023,12,4,4,0,-3,too early,1500.0,2023,12,4,1,4,1000.0,-3,early,-500.0,under delivered
6260788-2,2,10488377,22900710605,2024,1,1,1,0,17,too late,1500.0,2024,1,1,18,3,1500.0,17,late,0.0,exact
6260789-1,2,62561667,23500120400,2023,11,4,27,0,-6,too early,525.0,2023,11,4,21,1,525.0,-6,early,0.0,exact
6260789-2,2,62561667,23500120500,2023,11,4,27,0,-6,too early,210.0,2023,11,4,21,1,210.0,-6,early,0.0,exact
6260790-1,1,89978826,9999,2023,1,1,9,0,1,too late,1.0,2023,1,1,10,1,1.0,1,late,0.0,exact
6260791-1,4,28567621,28000010501,2023,4,2,17,0,0,on time,30.0,2023,4,2,17,0,30.0,0,on_time,0.0,exact
6260791-2,4,28567621,28000015500,2023,4,2,17,0,0,on time,30.0,2023,4,2,17,0,30.0,0,on_time,0.0,exact
6260791-3,4,28567621,28000010501,2023,6,2,26,0,-3,too early,30.0,2023,6,2,23,4,30.0,-3,early,0.0,exact
6260791-4,4,28567621,28000015500,2023,6,2,26,0,-3,too early,30.0,2023,6,2,23,4,30.0,-3,early,0.0,exact
6260792-1,2,72613869,21000180000,2023,9,3,11,0,1,too late,60.0,2023,9,3,12,1,60.0,1,late,0.0,exact
6260792-2,2,72613869,21000180000,2023,10,4,30,0,0,on time,50.0,2023,10,4,30,0,50.0,0,on_time,0.0,exact
6260793-1,2,36132565,23500200100,2023,10,4,16,0,-3,too early,1250.0,2023,10,4,13,4,1250.0,-3,early,0.0,exact
6260793-2,2,36132565,23500201100,2023,10,4,16,0,-3,too early,1250.0,2023,10,4,13,4,1250.0,-3,early,0.0,exact
6260794-1,2,36132565,23500030200,2023,11,4,6,0,1,too late,100.0,2023,11,4,7,1,100.0,1,late,0.0,exact
6260794-2,2,36132565,23500010201,2023,11,4,6,0,1,too late,1000.0,2023,11,4,7,1,1000.0,1,late,0.0,exact
6260795-1,4,36132565,FOLIE REO1.05,2023,10,4,2,0,2,too late,2475.0,2023,10,4,4,2,2475.0,2,late,0.0,exact
6260795-2,4,36132565,FOLIE REO1.15,2023,10,4,2,0,2,too late,1000.0,2023,10,4,4,2,1000.0,2,late,0.0,exact
6260795-3,4,36132565,FOLIE REO1.15,2023,11,4,13,0,-3,too early,1000.0,2023,11,4,10,4,1000.0,-3,early,0.0,exact
6260795-4,4,36132565,FOLIE REO1.15,2024,1,1,29,0,-3,too early,1000.0,2024,1,1,26,4,1000.0,-3,early,0.0,exact
6260796-1,2,36132565,FOLIE REO1.21,2023,8,3,21,0,-3,too early,300.0,2023,8,3,18,4,300.0,-3,early,0.0,exact
6260796-2,2,36132565,23500030100,2023,11,4,20,0,-3,too early,130.0,2023,11,4,17,4,130.0,-3,early,0.0,exact
6260797-1,5,61086311,284000100,2023,5,2,8,0,0,on time,12.0,2023,5,2,8,0,12.0,0,on_time,0.0,exact
6260797-2,5,61086311,28100020200,2023,5,2,8,0,0,on time,30.0,2023,5,2,8,0,30.0,0,on_time,0.0,exact
6260797-3,5,61086311,28100020300,2023,5,2,8,0,0,on time,30.0,2023,5,2,8,0,30.0,0,on_time,0.0,exact
6260797-4,5,61086311,28100020400,2023,5,2,8,0,0,on time,30.0,2023,5,2,8,0,30.0,0,on_time,0.0,exact
6260797-5,5,61086311,28100020500,2023,5,2,8,0,0,on time,30.0,2023,5,2,8,0,30.0,0,on_time,0.0,exact
6260798-1,5,61086311,284000100,2023,7,3,10,0,-7,too early,12.0,2023,7,3,3,0,12.0,-7,early,0.0,exact
6260798-2,5,61086311,28100020200,2023,7,3,10,0,-6,too early,30.0,2023,7,3,4,1,30.0,-6,early,0.0,exact
6260798-3,5,61086311,28100020300,2023,7,3,10,0,-6,too early,30.0,2023,7,3,4,1,30.0,-6,early,0.0,exact
6260798-4,5,61086311,28100020400,2023,7,3,10,0,-6,too early,30.0,2023,7,3,4,1,30.0,-6,early,0.0,exact
6260798-5,5,61086311,28100020500,2023,7,3,10,0,-6,too early,30.0,2023,7,3,4,1,30.0,-6,early,0.0,exact
6260799-1,1,5179328,TRIAC 812,2023,12,4,11,0,-4,too early,2000.0,2023,12,4,7,3,2000.0,-4,early,0.0,exact
6260800-1,2,82287107,24400030000,2023,8,3,14,0,0,on time,5000.0,2023,8,3,14,0,5000.0,0,on_time,0.0,exact
6260800-2,2,82287107,24400030000,2024,2,1,12,0,-3,too early,5000.0,2024,2,1,9,4,5000.0,-3,early,0.0,exact
6260801-1,6,27215351,26100050000,2023,7,3,3,0,0,on time,20.0,2023,7,3,3,0,20.0,0,on_time,0.0,exact
6260801-2,6,27215351,28000310000,2023,7,3,3,0,0,on time,20.0,2023,7,3,3,0,20.0,0,on_time,0.0,exact
6260801-3,6,27215351,28000310100,2023,7,3,3,0,0,on time,20.0,2023,7,3,3,0,20.0,0,on_time,0.0,exact
6260801-4,6,27215351,28000310200,2023,7,3,3,0,0,on time,20.0,2023,7,3,3,0,20.0,0,on_time,0.0,exact
6260801-5,6,27215351,28000310300,2023,7,3,3,0,0,on time,20.0,2023,7,3,3,0,20.0,0,on_time,0.0,exact
6260801-6,6,27215351,28000130100,2023,7,3,3,0,0,on time,20.0,2023,7,3,3,0,20.0,0,on_time,0.0,exact
6260802-1,1,90080329,124700000009900,2023,2,1,6,0,1,too late,300.0,2023,2,1,7,1,300.0,1,late,0.0,exact
6260803-1,1,53936705,33100949101,2023,7,3,24,0,15,too late,90.0,2023,8,3,8,1,90.0,15,late,0.0,exact
6260804-1,1,14148833,21400050100,2024,4,2,17,2,-8,too early,1000.0,2024,4,2,9,1,1000.0,-8,early,0.0,exact
6260805-1,5,41316462,27400030300,2023,4,2,10,0,2,too late,200.0,2023,4,2,12,2,200.0,2,late,0.0,exact
6260805-2,5,41316462,27400133100,2023,4,2,10,0,2,too late,95.0,2023,4,2,12,2,95.0,2,late,0.0,exact
6260805-3,5,41316462,27400120400,2023,10,4,30,0,-3,too early,200.0,2023,10,4,27,4,100.0,-3,early,-100.0,under delivered
6260805-4,5,41316462,27400120100,2023,10,4,30,0,0,on time,4000.0,2023,10,4,30,0,4000.0,0,on_time,0.0,exact
6260805-5,5,41316462,27400133100,2023,4,2,10,0,3,too late,200.0,2023,4,2,13,3,200.0,3,late,0.0,exact
6260806-1,8,27555085,27300020500,2023,11,4,13,0,-6,too early,1000.0,2023,11,4,7,1,1000.0,-6,early,0.0,exact
6260806-2,8,27555085,27300020400,2023,11,4,13,0,-6,too early,500.0,2023,11,4,7,1,500.0,-6,early,0.0,exact
6260806-3,8,27555085,27300020300,2023,11,4,13,0,-6,too early,300.0,2023,11,4,7,1,300.0,-6,early,0.0,exact
6260806-4,8,27555085,27300020000,2023,11,4,13,0,2,too late,200.0,2023,11,4,15,2,200.0,2,late,0.0,exact
6260806-5,8,27555085,27300270200,2023,11,4,13,0,-6,too early,200.0,2023,11,4,7,1,200.0,-6,early,0.0,exact
6260806-6,8,27555085,27300280400,2023,11,4,13,0,-6,too early,200.0,2023,11,4,7,1,200.0,-6,early,0.0,exact
6260806-7,8,27555085,27301110200,2023,11,4,13,0,-6,too early,1000.0,2023,11,4,7,1,1000.0,-6,early,0.0,exact
6260806-8,8,27555085,27301110100,2023,11,4,13,0,-6,too early,500.0,2023,11,4,7,1,500.0,-6,early,0.0,exact
6260807-1,2,27555085,27300280300,2023,9,3,4,0,-5,too early,200.0,2023,8,3,30,2,200.0,-5,early,0.0,exact
6260807-2,2,27555085,27300270200,2023,9,3,4,0,-4,too early,200.0,2023,8,3,31,3,200.0,-4,early,0.0,exact
6260808-1,4,27555085,22200030000,2023,11,4,27,0,-6,too early,5000.0,2023,11,4,21,1,5000.0,-6,early,0.0,exact
6260808-2,4,27555085,27301110200,2023,11,4,27,0,-6,too early,1800.0,2023,11,4,21,1,1800.0,-6,early,0.0,exact
6260808-3,4,27555085,27301110100,2023,11,4,27,0,-6,too early,500.0,2023,11,4,21,1,500.0,-6,early,0.0,exact
6260808-4,4,27555085,27301120200,2023,11,4,27,0,-6,too early,200.0,2023,11,4,21,1,200.0,-6,early,0.0,exact
6260809-1,2,51270299,322900000004200,2023,6,2,7,2,-2,too early,200.0,2023,6,2,5,0,200.0,-2,early,0.0,exact
6260809-2,2,51270299,322900000004200,2023,8,3,21,0,-4,too early,200.0,2023,8,3,17,3,200.0,-4,early,0.0,exact
6260810-1,1,94299111,23200091100,2023,2,1,20,0,-17,too early,497.0,2023,2,1,3,4,497.0,-17,early,0.0,exact
6260811-1,1,50934703,999,2023,1,1,9,0,2,too late,3.0,2023,1,1,11,2,3.0,2,late,0.0,exact
6260812-1,4,36132565,23500201100,2023,11,4,20,0,-3,too early,1250.0,2023,11,4,17,4,1250.0,-3,early,0.0,exact
6260812-2,4,36132565,23500200100,2023,11,4,20,0,-3,too early,1250.0,2023,11,4,17,4,1250.0,-3,early,0.0,exact
6260812-3,4,36132565,23500201100,2024,2,1,5,0,-3,too early,1250.0,2024,2,1,2,4,1250.0,-3,early,0.0,exact
6260675-1,10,52391922,27300390000,2023,4,2,10,0,-5,too early,150.0,2023,4,2,5,2,150.0,-5,early,0.0,exact
6260675-2,10,52391922,27100812300,2023,4,2,10,0,-5,too early,300.0,2023,4,2,5,2,300.0,-5,early,0.0,exact
6260675-3,10,52391922,27100703600,2023,4,2,21,4,0,on time,200.0,2023,4,2,21,4,200.0,0,on_time,0.0,exact
6260675-4,10,52391922,ABDECKPLATTEABP,2023,4,2,10,0,-5,too early,400.0,2023,4,2,5,2,400.0,-5,early,0.0,exact
6260675-5,10,52391922,37100800000,2023,5,2,15,0,0,on time,250.0,2023,5,2,15,0,250.0,0,on_time,0.0,exact
6260675-6,10,52391922,37100490600,2023,5,2,15,0,-3,too early,50.0,2023,5,2,12,4,50.0,-3,early,0.0,exact
6260675-7,10,52391922,37100490400,2023,5,2,15,0,-3,too early,250.0,2023,5,2,12,4,250.0,-3,early,0.0,exact
6260675-8,10,52391922,37100490200,2023,5,2,15,0,-3,too early,100.0,2023,5,2,12,4,100.0,-3,early,0.0,exact
6260675-9,10,52391922,37100490100,2023,5,2,15,0,-3,too early,200.0,2023,5,2,12,4,200.0,-3,early,0.0,exact
6260675-10,10,52391922,KLEM HDFK10,2023,7,3,3,0,3,too late,250.0,2023,7,3,6,3,250.0,3,late,0.0,exact
6260676-1,4,52391922,27100340100,2023,8,3,14,0,-5,too early,1000.0,2023,8,3,9,2,1000.0,-5,early,0.0,exact
6260676-2,4,52391922,27100512900,2023,9,3,4,0,-4,too early,200.0,2023,8,3,31,3,200.0,-4,early,0.0,exact
6260676-3,4,52391922,27100512400,2023,9,3,4,0,-4,too early,250.0,2023,8,3,31,3,250.0,-4,early,0.0,exact
6260676-4,4,52391922,27100420800,2023,9,3,4,0,-4,too early,400.0,2023,8,3,31,3,400.0,-4,early,0.0,exact
6260677-1,8,52391922,27100912300,2023,9,3,25,0,-5,too early,500.0,2023,9,3,20,2,500.0,-5,early,0.0,exact
6260677-2,8,52391922,27100712800,2023,9,3,25,0,-5,too early,500.0,2023,9,3,20,2,500.0,-5,early,0.0,exact
6260677-3,8,52391922,27100522300,2023,9,3,25,0,-5,too early,500.0,2023,9,3,20,2,500.0,-5,early,0.0,exact
6260677-4,8,52391922,27100422200,2023,9,3,25,0,-5,too early,1000.0,2023,9,3,20,2,1000.0,-5,early,0.0,exact
6260677-5,8,52391922,27100370100,2023,9,3,25,0,-5,too early,500.0,2023,9,3,20,2,500.0,-5,early,0.0,exact
6260677-6,8,52391922,27100340100,2023,9,3,25,0,-5,too early,1000.0,2023,9,3,20,2,1000.0,-5,early,0.0,exact
6260677-7,8,52391922,27100160000,2023,9,3,25,0,-5,too early,400.0,2023,9,3,20,2,400.0,-5,early,0.0,exact
6260677-8,8,52391922,KLEM MSTB-4-ST,2023,9,3,25,0,-5,too early,1000.0,2023,9,3,20,2,1000.0,-5,early,0.0,exact
6260678-1,6,52391922,27100912900,2023,10,4,16,0,2,too late,1000.0,2023,10,4,18,2,1000.0,2,late,0.0,exact
6260678-2,6,52391922,27100712900,2023,10,4,16,0,2,too late,1000.0,2023,10,4,18,2,1000.0,2,late,0.0,exact
6260678-3,6,52391922,27100542800,2023,10,4,16,0,2,too late,200.0,2023,10,4,18,2,200.0,2,late,0.0,exact
6260678-4,6,52391922,27100542400,2023,10,4,16,0,2,too late,250.0,2023,10,4,18,2,250.0,2,late,0.0,exact
6260678-5,6,52391922,971000400,2023,10,4,16,0,2,too late,1000.0,2023,10,4,18,2,1000.0,2,late,0.0,exact
6260678-6,6,52391922,ST MVSTBR 6-ST,2023,10,4,16,0,2,too late,200.0,2023,10,4,18,2,200.0,2,late,0.0,exact
6260679-1,8,52391922,27100912300,2023,11,4,6,0,-4,too early,500.0,2023,11,4,2,3,500.0,-4,early,0.0,exact
6260679-2,8,52391922,27100812300,2023,11,4,6,0,-4,too early,600.0,2023,11,4,2,3,600.0,-4,early,0.0,exact
6260679-3,8,52391922,27100540300,2023,11,4,6,0,-4,too early,750.0,2023,11,4,2,3,750.0,-4,early,0.0,exact
6260679-4,8,52391922,27100422200,2023,11,4,6,0,-4,too early,1000.0,2023,11,4,2,3,1000.0,-4,early,0.0,exact
6260679-5,8,52391922,27100300000,2023,11,4,6,0,0,on time,250.0,2023,11,4,6,0,250.0,0,on_time,0.0,exact
6260679-6,8,52391922,27100290000,2023,11,4,16,3,0,on time,250.0,2023,11,4,16,3,250.0,0,on_time,0.0,exact
6260679-7,8,52391922,KLEM MSTB-4-ST,2023,11,4,6,0,-4,too early,1000.0,2023,11,4,2,3,1000.0,-4,early,0.0,exact
6260679-8,8,52391922,27100390000,2023,11,4,6,0,-4,too early,300.0,2023,11,4,2,3,300.0,-4,early,0.0,exact
6260680-1,7,52391922,27100713600,2023,11,4,20,0,-5,too early,100.0,2023,11,4,15,2,100.0,-5,early,0.0,exact
6260680-2,7,52391922,27100150000,2023,11,4,20,0,-5,too early,100.0,2023,11,4,15,2,100.0,-5,early,0.0,exact
6260680-3,7,52391922,27100512400,2023,11,4,20,0,-5,too early,250.0,2023,11,4,15,2,250.0,-5,early,0.0,exact
6260680-4,7,52391922,27100420800,2023,11,4,20,0,-5,too early,400.0,2023,11,4,15,2,400.0,-5,early,0.0,exact
6260680-5,7,52391922,27100400200,2023,11,4,20,0,-5,too early,100.0,2023,11,4,15,2,100.0,-5,early,0.0,exact
6260680-6,7,52391922,27100370100,2023,11,4,20,0,-5,too early,500.0,2023,11,4,15,2,500.0,-5,early,0.0,exact
6260680-7,7,52391922,KLGMSTB25/3S762,2023,11,4,20,0,-5,too early,300.0,2023,11,4,15,2,300.0,-5,early,0.0,exact
6260681-1,1,46990006,22711760002,2023,4,2,3,0,-3,too early,1500.0,2023,3,1,31,4,1500.0,-3,early,0.0,exact
6260682-1,1,29207196,22713590003,2023,6,2,5,0,-3,too early,700.0,2023,6,2,2,4,700.0,-3,early,0.0,exact
6260683-1,1,66830485,KK 06110M,2023,8,3,7,0,-4,too early,21.0,2023,8,3,3,3,21.0,-4,early,0.0,exact
6260684-1,4,29207196,22713900009,2023,5,2,15,0,-4,too early,500.0,2023,5,2,11,3,500.0,-4,early,0.0,exact
6260684-2,4,29207196,22713900009,2023,7,3,3,0,-5,too early,500.0,2023,6,2,28,2,500.0,-5,early,0.0,exact
6260684-3,4,29207196,22713900009,2023,9,3,18,0,-82,too early,500.0,2023,6,2,28,2,500.0,-82,early,0.0,exact
6260684-4,4,29207196,22713900009,2023,11,4,27,0,1,too late,500.0,2023,11,4,28,1,500.0,1,late,0.0,exact
6260685-1,3,24582369,52713200002,2023,4,2,10,0,-5,too early,105.0,2023,4,2,5,2,105.0,-5,early,0.0,exact
6260685-2,3,24582369,32717910005,2023,5,2,15,0,-5,too early,200.0,2023,5,2,10,2,200.0,-5,early,0.0,exact
6260685-3,3,24582369,22717890003,2023,5,2,15,0,-5,too early,400.0,2023,5,2,10,2,400.0,-5,early,0.0,exact
6260686-1,2,5134367,24000180000,2023,11,4,27,0,4,too late,1000.0,2023,12,4,1,4,1000.0,4,late,0.0,exact
6260686-2,2,5134367,24000180000,2024,1,1,22,0,15,too late,1000.0,2024,2,1,6,1,1000.0,15,late,0.0,exact
6260687-1,5,66830485,STECKVERBASLG16,2023,11,4,20,0,7,too late,1000.0,2023,11,4,27,0,1000.0,7,late,0.0,exact
6260687-2,5,66830485,STIFTL SL1/20,2023,8,3,7,0,1,too late,200.0,2023,8,3,8,1,200.0,1,late,0.0,exact
6260687-3,5,66830485,273000100,2023,11,4,20,0,7,too late,400.0,2023,11,4,27,0,400.0,7,late,0.0,exact
6260687-4,5,66830485,23000120000,2023,8,3,7,0,-4,too early,200.0,2023,8,3,3,3,200.0,-4,early,0.0,exact
6260687-5,5,66830485,ST SL11/112 7Z,2023,12,4,4,0,1,too late,500.0,2023,12,4,5,1,500.0,1,late,0.0,exact
6260688-1,2,41316462,SKINTOP M20 EMV,2023,10,4,9,0,0,on time,400.0,2023,10,4,9,0,400.0,0,on_time,0.0,exact
6260688-2,2,41316462,27400113100,2023,4,2,17,0,0,on time,100.0,2023,4,2,17,0,100.0,0,on_time,0.0,exact
6260689-1,1,6355505,FS N 2 38A10,2023,11,4,6,0,-4,too early,1000.0,2023,11,4,2,3,1000.0,-4,early,0.0,exact
6260690-1,8,52391922,KLEM KDS10/S0,2023,7,3,3,0,-5,too early,100.0,2023,6,2,28,2,100.0,-5,early,0.0,exact
6260690-2,8,52391922,ERDUNGSKLEM M10,2023,7,3,3,0,-5,too early,50.0,2023,6,2,28,2,50.0,-5,early,0.0,exact
6260690-3,8,52391922,27101012700,2023,10,4,2,0,-4,too early,50.0,2023,9,3,28,3,50.0,-4,early,0.0,exact
6260690-4,8,52391922,27101012500,2023,10,4,2,0,-4,too early,300.0,2023,9,3,28,3,300.0,-4,early,0.0,exact
6260690-5,8,52391922,27100542200,2023,10,4,2,0,2,too late,250.0,2023,10,4,4,2,250.0,2,late,0.0,exact
6260690-6,8,52391922,27100390100,2023,10,4,2,0,-4,too early,200.0,2023,9,3,28,3,200.0,-4,early,0.0,exact
6260690-7,8,52391922,27100330200,2023,10,4,2,0,2,too late,40.0,2023,10,4,4,2,40.0,2,late,0.0,exact
6260690-8,8,52391922,23200320000,2023,10,4,2,0,-4,too early,100.0,2023,9,3,28,3,100.0,-4,early,0.0,exact
6260691-1,10,52391922,27301270200,2023,10,4,23,0,0,on time,20.0,2023,10,4,23,0,20.0,0,on_time,0.0,exact
6260691-2,10,52391922,27301210000,2023,10,4,23,0,-5,too early,50.0,2023,10,4,18,2,50.0,-5,early,0.0,exact
6260691-3,10,52391922,27300420200,2023,10,4,23,0,0,on time,200.0,2023,10,4,23,0,200.0,0,on_time,0.0,exact
6260691-4,10,52391922,27100542900,2023,10,4,23,0,-5,too early,500.0,2023,10,4,18,2,500.0,-5,early,0.0,exact
6260691-5,10,52391922,27100516900,2023,10,4,23,0,-3,too early,200.0,2023,10,4,20,4,200.0,-3,early,0.0,exact
6260691-6,10,52391922,27100512900,2023,10,4,23,0,-5,too early,200.0,2023,10,4,18,2,200.0,-5,early,0.0,exact
6260691-7,10,52391922,27100422300,2023,10,4,23,0,-5,too early,1000.0,2023,10,4,18,2,1000.0,-5,early,0.0,exact
6260691-8,10,52391922,27301220000,2023,10,4,23,0,-5,too early,1000.0,2023,10,4,18,2,1000.0,-5,early,0.0,exact
6260691-9,10,52391922,27100552300,2023,10,4,23,0,-5,too early,1000.0,2023,10,4,18,2,1000.0,-5,early,0.0,exact
6260691-10,10,52391922,KL MKKDSN 2X2,2023,10,4,23,0,-5,too early,250.0,2023,10,4,18,2,250.0,-5,early,0.0,exact
6260692-1,6,54973100,27100440200,2023,11,4,13,0,1,too late,4000.0,2023,11,4,14,1,4000.0,1,late,0.0,exact
6260692-2,6,54973100,27100441300,2023,11,4,13,0,1,too late,2000.0,2023,11,4,14,1,2000.0,1,late,0.0,exact
6260692-3,6,54973100,27100443300,2023,11,4,13,0,1,too late,2000.0,2023,11,4,14,1,2000.0,1,late,0.0,exact
6260692-4,6,54973100,27100450300,2023,11,4,13,0,1,too late,2000.0,2023,11,4,14,1,2000.0,1,late,0.0,exact
6260692-5,6,54973100,27100440200,2024,1,1,8,0,3,too late,4000.0,2024,1,1,11,3,4000.0,3,late,0.0,exact
6260692-6,6,54973100,27100440300,2024,1,1,8,0,3,too late,4000.0,2024,1,1,11,3,4000.0,3,late,0.0,exact
6260694-1,2,53936705,KK 3360101M,2023,7,3,10,0,0,on time,500.0,2023,7,3,10,0,500.0,0,on_time,0.0,exact
6260694-2,2,53936705,KK 3360101M,2023,10,4,30,0,10,too late,500.0,2023,11,4,9,3,500.0,10,late,0.0,exact
6260695-1,11,53936705,23013900006,2023,4,2,3,0,1,too late,500.0,2023,4,2,4,1,500.0,1,late,0.0,exact
6260695-2,11,53936705,23013900006,2023,5,2,15,0,1,too late,500.0,2023,5,2,16,1,500.0,1,late,0.0,exact
6260695-3,11,53936705,23013900006,2023,7,3,10,0,0,on time,500.0,2023,7,3,10,0,500.0,0,on_time,0.0,exact
6260695-4,11,53936705,23013900006,2023,7,3,24,0,3,too late,500.0,2023,7,3,27,3,500.0,3,late,0.0,exact
6260695-5,11,53936705,23013900006,2023,8,3,7,0,1,too late,500.0,2023,8,3,8,1,500.0,1,late,0.0,exact
6260695-6,11,53936705,23013900006,2023,8,3,28,0,1,too late,500.0,2023,8,3,29,1,500.0,1,late,0.0,exact
6260695-7,11,53936705,23013900006,2023,9,3,11,0,1,too late,500.0,2023,9,3,12,1,500.0,1,late,0.0,exact
4126884-1,1,23619698,423408006003400,2024,3,1,11,0,1,too late,90.0,2024,3,1,12,1,90.0,1,late,0.0,exact
6261467-1,5,54973100,27100452300,2023,11,4,13,0,1,too late,2000.0,2023,11,4,14,1,2000.0,1,late,0.0,exact
6261467-2,5,54973100,27100451300,2023,11,4,13,0,1,too late,2000.0,2023,11,4,14,1,2000.0,1,late,0.0,exact
6261467-3,5,54973100,27100442300,2024,1,1,3,2,2,too late,4000.0,2024,1,1,5,4,4000.0,2,late,0.0,exact
6261467-4,5,54973100,27100452300,2024,1,1,3,2,2,too late,2000.0,2024,1,1,5,4,2000.0,2,late,0.0,exact
6261467-5,5,54973100,27100451300,2024,1,1,15,0,1,too late,2000.0,2024,1,1,16,1,2000.0,1,late,0.0,exact
6261468-1,5,54973100,27100441300,2024,4,2,15,0,1,too late,2000.0,2024,4,2,16,1,2000.0,1,late,0.0,exact
6261468-2,5,54973100,27100443300,2024,4,2,15,0,1,too late,2000.0,2024,4,2,16,1,2000.0,1,late,0.0,exact
6261468-3,5,54973100,27100453300,2024,4,2,15,0,1,too late,4000.0,2024,4,2,16,1,4000.0,1,late,0.0,exact
6261468-4,5,54973100,27100452300,2024,4,2,15,0,1,too late,2000.0,2024,4,2,16,1,2000.0,1,late,0.0,exact
6261468-5,5,54973100,27100451300,2024,4,2,15,0,1,too late,2000.0,2024,4,2,16,1,2000.0,1,late,0.0,exact
6261469-1,4,19314511,24300300000,2024,3,1,25,0,9,too late,920.0,2024,4,2,3,2,920.0,9,late,0.0,exact
6261469-2,4,19314511,24300260000,2024,3,1,25,0,9,too late,990.0,2024,4,2,3,2,990.0,9,late,0.0,exact
6261469-3,4,19314511,24300270100,2024,3,1,25,0,9,too late,1000.0,2024,4,2,3,2,1000.0,9,late,0.0,exact
6261469-4,4,19314511,221800000000600,2024,3,1,25,0,9,too late,1200.0,2024,4,2,3,2,1200.0,9,late,0.0,exact
6261471-1,16,52391922,KLEM HDFK10,2023,9,3,4,0,1,too late,250.0,2023,9,3,5,1,250.0,1,late,0.0,exact
6261471-2,16,52391922,37100490100,2023,8,3,21,0,-5,too early,200.0,2023,8,3,16,2,200.0,-5,early,0.0,exact
6261471-3,16,52391922,37100800000,2023,8,3,21,0,0,on time,250.0,2023,8,3,21,0,250.0,0,on_time,0.0,exact
6261471-4,16,52391922,37100900000,2023,8,3,21,0,-5,too early,150.0,2023,8,3,16,2,150.0,-5,early,0.0,exact
6261471-5,16,52391922,37100490400,2023,8,3,21,0,-5,too early,250.0,2023,8,3,16,2,250.0,-5,early,0.0,exact
6261471-6,16,52391922,27301110400,2023,8,3,21,0,-5,too early,100.0,2023,8,3,16,2,100.0,-5,early,0.0,exact
6261471-7,16,52391922,37100490900,2023,8,3,21,0,-5,too early,50.0,2023,8,3,16,2,50.0,-5,early,0.0,exact
6261471-8,16,52391922,37100490300,2023,8,3,21,0,-5,too early,100.0,2023,8,3,16,2,100.0,-5,early,0.0,exact
6261471-9,16,52391922,27101400100,2023,8,3,21,0,0,on time,50.0,2023,8,3,21,0,50.0,0,on_time,0.0,exact
6261471-10,16,52391922,27300280800,2023,8,3,21,0,-5,too early,60.0,2023,8,3,16,2,60.0,-5,early,0.0,exact
6261471-11,16,52391922,37100500000,2023,8,3,21,0,-5,too early,200.0,2023,8,3,16,2,200.0,-5,early,0.0,exact
6261471-12,16,52391922,37100520000,2023,8,3,21,0,-5,too early,50.0,2023,8,3,16,2,50.0,-5,early,0.0,exact
6261471-13,16,52391922,37100490500,2023,8,3,21,0,-5,too early,250.0,2023,8,3,16,2,250.0,-5,early,0.0,exact
6261471-14,16,52391922,37100490600,2023,8,3,21,0,-5,too early,50.0,2023,8,3,16,2,50.0,-5,early,0.0,exact
6261471-15,16,52391922,27100511500,2023,8,3,21,0,-5,too early,50.0,2023,8,3,16,2,50.0,-5,early,0.0,exact
6261471-16,16,52391922,37100490800,2023,8,3,21,0,-5,too early,250.0,2023,8,3,16,2,250.0,-5,early,0.0,exact
6261472-1,3,51101021,916000300,2023,8,3,28,0,-123,too early,1000.0,2023,4,2,27,3,1000.0,-123,early,0.0,exact
6261472-2,3,51101021,21600090000,2023,8,3,28,0,-123,too early,500.0,2023,4,2,27,3,500.0,-123,early,0.0,exact
6261472-3,3,51101021,31000320200,2023,8,3,28,0,-123,too early,500.0,2023,4,2,27,3,500.0,-123,early,0.0,exact
6261473-1,3,51101021,RELAIS AGN20012,2023,4,2,24,0,8,too late,1100.0,2023,5,2,2,1,1100.0,8,late,0.0,exact
6261473-2,3,51101021,RELAIS AGN20012,2023,5,2,8,0,-3,too early,1100.0,2023,5,2,5,4,1100.0,-3,early,0.0,exact
6261473-3,3,51101021,RELAIS AGN20012,2023,6,2,5,0,2,too late,1100.0,2023,6,2,7,2,1100.0,2,late,0.0,exact
